Time,Amount,Class,anomaly_score,logged_at
28755.0,99.99,1,-1,2026-08-25T19:38:47.717455
29650.0,6.28,0,-1,2026-08-25T19:38:47.717455
32610.0,3.68,0,-1,2026-08-25T19:38:47.717455
33585.0,40.0,0,-1,2026-08-25T19:38:47.717455
34207.0,9.23,0,-1,2026-08-25T19:38:47.717455
35906.0,9.13,1,-1,2026-08-25T19:38:47.717455
35926.0,4.56,1,-1,2026-08-25T19:38:47.717455
35942.0,14.46,1,-1,2026-08-25T19:38:47.717455
35953.0,111.7,1,-1,2026-08-25T19:38:47.717455
36170.0,111.7,1,-1,2026-08-25T19:38:47.717455
36225.0,1.0,0,-1,2026-08-25T19:38:47.717455
36520.0,1.0,0,-1,2026-08-25T19:38:47.717455
36524.0,58.09,0,-1,2026-08-25T19:38:47.717455
36762.0,3000.0,0,-1,2026-08-25T19:38:47.717455
39954.0,1201.83,0,-1,2026-08-25T19:38:47.717455
40892.0,0.76,1,-1,2026-08-25T19:38:47.717455
41034.0,1984.45,0,-1,2026-08-25T19:38:47.717455
41116.0,3.79,1,-1,2026-08-25T19:38:47.717455
41138.0,340.11,1,-1,2026-08-25T19:38:47.717455
41147.0,88.23,1,-1,2026-08-25T19:38:47.717455
41164.0,5.3,1,-1,2026-08-25T19:38:47.717455
41170.0,83.38,1,-1,2026-08-25T19:38:47.717455
41181.0,11.38,1,-1,2026-08-25T19:38:47.717455
41194.0,1.52,1,-1,2026-08-25T19:38:47.717455
41203.0,88.23,1,-1,2026-08-25T19:38:47.717455
41204.0,30.26,1,-1,2026-08-25T19:38:47.717455
41227.0,459.07,1,-1,2026-08-25T19:38:47.717455
41233.0,0.0,1,-1,2026-08-25T19:38:47.717455
41237.0,118.3,1,-1,2026-08-25T19:38:47.717455
41243.0,45.49,1,-1,2026-08-25T19:38:47.717455
41273.0,173.07,1,-1,2026-08-25T19:38:47.717455
41285.0,37.32,1,-1,2026-08-25T19:38:47.717455
41305.0,59.68,1,-1,2026-08-25T19:38:47.717455
41308.0,0.76,1,-1,2026-08-25T19:38:47.717455
41313.0,9.99,1,-1,2026-08-25T19:38:47.717455
41353.0,34.12,1,-1,2026-08-25T19:38:47.717455
41397.0,273.01,1,-1,2026-08-25T19:38:47.717455
41413.0,106.55,1,-1,2026-08-25T19:38:47.717455
41501.0,1.0,0,-1,2026-08-25T19:38:47.717455
41505.0,364.19,1,-1,2026-08-25T19:38:47.717455
41508.0,89.99,0,-1,2026-08-25T19:38:47.717455
41607.0,53.95,1,-1,2026-08-25T19:38:47.717455
41851.0,139.9,1,-1,2026-08-25T19:38:47.717455
41864.0,89.99,0,-1,2026-08-25T19:38:47.717455
41870.0,1.0,1,-1,2026-08-25T19:38:47.717455
42951.0,12910.93,0,-1,2026-08-25T19:38:47.717455
43893.0,175.0,0,-1,2026-08-25T19:38:47.717455
43980.0,1.98,0,-1,2026-08-25T19:38:47.717455
44208.0,1.0,0,-1,2026-08-25T19:38:47.717455
44423.0,2310.0,0,-1,2026-08-25T19:38:47.717455
45502.0,3050.69,0,-1,2026-08-25T19:38:47.717455
45618.0,1.98,0,-1,2026-08-25T19:38:47.717455
46253.0,11898.09,0,-1,2026-08-25T19:38:47.717455
47853.0,607.7,0,-1,2026-08-25T19:38:47.717455
48401.0,19656.53,0,-1,2026-08-25T19:38:47.717455
48899.0,1.98,0,-1,2026-08-25T19:38:47.717455
49950.0,1.98,0,-1,2026-08-25T19:38:47.717455
51557.0,1.98,0,-1,2026-08-25T19:38:47.717455
51575.0,500.0,0,-1,2026-08-25T19:38:47.717455
51674.0,933.9,0,-1,2026-08-25T19:38:47.717455
52102.0,153.67,0,-1,2026-08-25T19:38:47.717455
52997.0,1.0,0,-1,2026-08-25T19:38:47.717455
53074.0,1.18,0,-1,2026-08-25T19:38:47.717455
53160.0,1.98,0,-1,2026-08-25T19:38:47.717455
53236.0,1.18,0,-1,2026-08-25T19:38:47.717455
55460.0,1580.56,0,-1,2026-08-25T19:38:47.717455
55578.0,1.98,0,-1,2026-08-25T19:38:47.717455
55709.0,8790.26,0,-1,2026-08-25T19:38:47.717455
56705.0,950.79,0,-1,2026-08-25T19:38:47.717455
57160.0,1.98,0,-1,2026-08-25T19:38:47.717455
57163.0,1.0,1,-1,2026-08-25T19:38:47.717455
57225.0,318.25,0,-1,2026-08-25T19:38:47.717455
57864.0,679.92,0,-1,2026-08-25T19:38:47.717455
57945.0,0.76,0,-1,2026-08-25T19:38:47.717455
57957.0,390.65,0,-1,2026-08-25T19:38:47.717455
61257.0,720.0,0,-1,2026-08-25T19:38:47.717455
63246.0,970.0,0,-1,2026-08-25T19:38:47.717455
67676.0,6239.54,0,-1,2026-08-25T19:38:47.717455
68207.0,1.0,1,-1,2026-08-25T19:38:47.717455
68207.0,1.0,1,-1,2026-08-25T19:38:47.717455
68207.0,1.0,1,-1,2026-08-25T19:38:47.717455
68207.0,1.0,1,-1,2026-08-25T19:38:47.717455
68207.0,1.0,1,-1,2026-08-25T19:38:47.717455
68207.0,1.0,1,-1,2026-08-25T19:38:47.717455
70891.0,1235.79,0,-1,2026-08-25T19:38:47.717455
71738.0,1441.49,0,-1,2026-08-25T19:38:47.717455
71834.0,1441.49,0,-1,2026-08-25T19:38:47.717455
71898.0,1729.79,0,-1,2026-08-25T19:38:47.717455
75207.0,243.26,0,-1,2026-08-25T19:38:47.717455
76318.0,1729.79,0,-1,2026-08-25T19:38:47.717455
77627.0,106.9,1,-1,2026-08-25T19:38:47.717455
78296.0,1.0,0,-1,2026-08-25T19:38:47.717455
78699.0,1.0,0,-1,2026-08-25T19:38:47.717455
78773.0,1.5,0,-1,2026-08-25T19:38:47.717455
79041.0,1.0,0,-1,2026-08-25T19:38:47.717455
79617.0,1593.37,0,-1,2026-08-25T19:38:47.717455
82543.0,203.5,0,-1,2026-08-25T19:38:47.717455
82802.0,305.25,0,-1,2026-08-25T19:38:47.717455
83065.0,407.0,0,-1,2026-08-25T19:38:47.717455
84360.0,19.95,0,-1,2026-08-25T19:38:47.717455
86570.0,102.0,0,-1,2026-08-25T19:38:47.717455
86624.0,2018.09,0,-1,2026-08-25T19:38:47.717455
93742.0,1.0,1,-1,2026-08-25T19:38:47.717455
93823.0,75.86,1,-1,2026-08-25T19:38:47.717455
93824.0,8.54,1,-1,2026-08-25T19:38:47.717455
93834.0,0.01,1,-1,2026-08-25T19:38:47.717455
93853.0,44.9,1,-1,2026-08-25T19:38:47.717455
93853.0,44.9,1,-1,2026-08-25T19:38:47.717455
93853.0,316.06,1,-1,2026-08-25T19:38:47.717455
93853.0,316.06,1,-1,2026-08-25T19:38:47.717455
93856.0,209.65,1,-1,2026-08-25T19:38:47.717455
93860.0,78.0,1,-1,2026-08-25T19:38:47.717455
93860.0,78.0,1,-1,2026-08-25T19:38:47.717455
93860.0,188.52,1,-1,2026-08-25T19:38:47.717455
93860.0,188.52,1,-1,2026-08-25T19:38:47.717455
93879.0,30.31,1,-1,2026-08-25T19:38:47.717455
93879.0,30.31,1,-1,2026-08-25T19:38:47.717455
93879.0,104.03,1,-1,2026-08-25T19:38:47.717455
93879.0,104.03,1,-1,2026-08-25T19:38:47.717455
93888.0,1.0,1,-1,2026-08-25T19:38:47.717455
93897.0,1.0,1,-1,2026-08-25T19:38:47.717455
93904.0,37.93,1,-1,2026-08-25T19:38:47.717455
93920.0,97.0,1,-1,2026-08-25T19:38:47.717455
93965.0,11.4,1,-1,2026-08-25T19:38:47.717455
94141.0,45.48,1,-1,2026-08-25T19:38:47.717455
94362.0,1.0,1,-1,2026-08-25T19:38:47.717455
94362.0,1.0,1,-1,2026-08-25T19:38:47.717455
94362.0,1.0,1,-1,2026-08-25T19:38:47.717455
94362.0,1.0,1,-1,2026-08-25T19:38:47.717455
94364.0,1.0,1,-1,2026-08-25T19:38:47.717455
95286.0,18910.0,0,-1,2026-08-25T19:38:47.717455
95559.0,1.63,1,-1,2026-08-25T19:38:47.717455
95628.0,1.63,1,-1,2026-08-25T19:38:47.717455
97121.0,8.64,1,-1,2026-08-25T19:38:47.717455
97235.0,9.82,1,-1,2026-08-25T19:38:47.717455
97300.0,15.16,0,-1,2026-08-25T19:38:47.717455
98282.0,5.35,0,-1,2026-08-25T19:38:47.717455
98430.0,7.58,0,-1,2026-08-25T19:38:47.717455
100223.0,2.28,1,-1,2026-08-25T19:38:47.717455
100298.0,1.0,1,-1,2026-08-25T19:38:47.717455
100384.0,779.86,0,-1,2026-08-25T19:38:47.717455
100924.0,1.0,1,-1,2026-08-25T19:38:47.717455
101160.0,5707.82,0,-1,2026-08-25T19:38:47.717455
101313.0,2.28,1,-1,2026-08-25T19:38:47.717455
102114.0,0.0,1,-1,2026-08-25T19:38:47.717455
102572.0,0.01,1,-1,2026-08-25T19:38:47.717455
102625.0,7.59,1,-1,2026-08-25T19:38:47.717455
105064.0,102.24,0,-1,2026-08-25T19:38:47.717455
105078.0,217.14,0,-1,2026-08-25T19:38:47.717455
106263.0,280.91,0,-1,2026-08-25T19:38:47.717455
111347.0,5420.61,0,-1,2026-08-25T19:38:47.717455
117406.0,846.34,0,-1,2026-08-25T19:38:47.717455
119211.0,970.0,0,-1,2026-08-25T19:38:47.717455
119713.0,11789.84,0,-1,2026-08-25T19:38:47.717455
119969.0,4861.64,0,-1,2026-08-25T19:38:47.717455
121340.0,4543.64,0,-1,2026-08-25T19:38:47.717455
121450.0,4861.64,0,-1,2026-08-25T19:38:47.717455
122723.0,1676.6,0,-1,2026-08-25T19:38:47.717455
123054.0,610.0,0,-1,2026-08-25T19:38:47.717455
123525.0,45.51,1,-1,2026-08-25T19:38:47.717455
126241.0,519.76,0,-1,2026-08-25T19:38:47.717455
126271.0,175.0,0,-1,2026-08-25T19:38:47.717455
128317.0,6.37,0,-1,2026-08-25T19:38:47.717455
128683.0,1042.8,0,-1,2026-08-25T19:38:47.717455
130341.0,0.76,0,-1,2026-08-25T19:38:47.717455
130831.0,52.13,0,-1,2026-08-25T19:38:47.717455
130956.0,4248.34,0,-1,2026-08-25T19:38:47.717455
132464.0,86.52,0,-1,2026-08-25T19:38:47.717455
132779.0,6454.74,0,-1,2026-08-25T19:38:47.717455
133010.0,593.48,0,-1,2026-08-25T19:38:47.717455
133099.0,0.0,0,-1,2026-08-25T19:38:47.717455
133161.0,1860.0,0,-1,2026-08-25T19:38:47.717455
134033.0,1402.38,0,-1,2026-08-25T19:38:47.717455
134070.0,660.38,0,-1,2026-08-25T19:38:47.717455
136124.0,1676.6,0,-1,2026-08-25T19:38:47.717455
136137.0,1676.6,0,-1,2026-08-25T19:38:47.717455
138013.0,328.32,0,-1,2026-08-25T19:38:47.717455
138701.0,517.67,0,-1,2026-08-25T19:38:47.717455
139008.0,0.76,0,-1,2026-08-25T19:38:47.717455
139052.0,1049.61,0,-1,2026-08-25T19:38:47.717455
140878.0,538.71,0,-1,2026-08-25T19:38:47.717455
141655.0,3502.11,0,-1,2026-08-25T19:38:47.717455
141812.0,1417.29,0,-1,2026-08-25T19:38:47.717455
141873.0,303.8,0,-1,2026-08-25T19:38:47.717455
142019.0,5964.95,0,-1,2026-08-25T19:38:47.717455
142071.0,303.8,0,-1,2026-08-25T19:38:47.717455
143863.0,200.0,0,-1,2026-08-25T19:38:47.717455
144752.0,216.5,0,-1,2026-08-25T19:38:47.717455
144755.0,8360.0,0,-1,2026-08-25T19:38:47.717455
145773.0,1210.0,0,-1,2026-08-25T19:38:47.717455
146082.0,2687.48,0,-1,2026-08-25T19:38:47.717455
146140.0,2031.02,0,-1,2026-08-25T19:38:47.717455
146177.0,264.0,0,-1,2026-08-25T19:38:47.717455
146772.0,3552.96,0,-1,2026-08-25T19:38:47.717455
147012.0,1201.93,0,-1,2026-08-25T19:38:47.717455
148008.0,157.43,0,-1,2026-08-25T19:38:47.717455
148806.0,152.0,0,-1,2026-08-25T19:38:47.717455
150757.0,314.34,0,-1,2026-08-25T19:38:47.717455
152763.0,8787.0,0,-1,2026-08-25T19:38:47.717455
153161.0,77.05,0,-1,2026-08-25T19:38:47.717455
155237.0,380.0,0,-1,2026-08-25T19:38:47.717455
157529.0,1.0,0,-1,2026-08-25T19:38:47.717455
157547.0,7.27,0,-1,2026-08-25T19:38:47.717455
158091.0,38.52,0,-1,2026-08-25T19:38:47.717455
159625.0,0.0,0,-1,2026-08-25T19:38:47.717455
159626.0,217.14,0,-1,2026-08-25T19:38:47.717455
159944.0,1673.61,0,-1,2026-08-25T19:38:47.717455
160204.0,1441.06,0,-1,2026-08-25T19:38:47.717455
160444.0,2074.69,0,-1,2026-08-25T19:38:47.717455
160669.0,1441.06,0,-1,2026-08-25T19:38:47.717455
160672.0,1441.06,0,-1,2026-08-25T19:38:47.717455
160833.0,5.9,0,-1,2026-08-25T19:38:47.717455
161985.0,35.95,0,-1,2026-08-25T19:38:47.717455
164233.0,106.78,0,-1,2026-08-25T19:38:47.717455
166198.0,25691.16,0,-1,2026-08-25T19:38:47.717455
168757.0,100.0,0,-1,2026-08-25T19:38:47.717455
172273.0,10199.44,0,-1,2026-08-25T19:38:47.717455
